STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
Missouri,29,65-74 years,Heart Diseases,3106,610165
Rhode Island,44,75-84 years,Other Accidents,79,53375
Mississippi,28,55-64 years,COVID-19,666,385911
Michigan,26,15-24 years,COVID-19,13,1326325
South Carolina,45,55-64 years,Motor Vehicle Accidents,161,689144
Florida,12,15-24 years,Other Causes,703,2460558
Minnesota,27,25-34 years,COVID-19,15,762616
Iowa,19,25-34 years,Other Causes,139,398150
Maine,23,75-84 years,Alzheimer & Brain Degeneration Disease,187,82386
New Hampshire,33,75-84 years,Influenza & Pneumonia,50,70954
Hawaii,15,65-74 years,Stroke,114,152092
Missouri,29,15-24 years,Cancer,24,794469
Maine,23,35-44 years,Cancer,46,154075
Georgia,13,25-34 years,Other Causes,719,1493261
Texas,48,85+ years,Chronic Respiratory Diseases,3017,408459
Vermont,50,25-34 years,Cancer,11,74408
New Hampshire,33,25-34 years,Other Accidents,134,172816
New York,36,1-14 years,Cancer,69,3345597
Massachusetts,25,15-24 years,Motor Vehicle Accidents,60,935124
Illinois,17,65-74 years,Alzheimer & Brain Degeneration Disease,312,1176033
Arizona,4,75-84 years,Stroke,830,411197
Arizona,4,1-14 years,Other Accidents,37,1360533
Arizona,4,45-54 years,Kidney Disease,36,852090
Virginia,51,35-44 years,Stroke,43,1112496
Colorado,8,45-54 years,Heart Diseases,330,706150
Tennessee,47,45-54 years,Chronic Respiratory Diseases,149,871279
North Dakota,38,35-44 years,Cancer,20,92576
Pennsylvania,42,35-44 years,Other Accidents,1175,1513739
Oregon,41,25-34 years,Motor Vehicle Accidents,78,604284
New Mexico,35,45-54 years,COVID-19,210,235656
Idaho,16,85+ years,Diabetes,97,29774
Michigan,26,55-64 years,Alzheimer & Brain Degeneration Disease,71,1399535
District of Columbia,11,25-34 years,Other Accidents,32,164541
Colorado,8,35-44 years,Heart Diseases,127,798071
Florida,12,45-54 years,Heart Diseases,2019,2709395
New Jersey,34,65-74 years,Chronic Respiratory Diseases,622,832866
Kansas,20,55-64 years,Chronic Respiratory Diseases,245,371505
Wyoming,56,65-74 years,Influenza & Pneumonia,14,60590
Alaska,2,55-64 years,Stroke,25,93339
Maryland,24,55-64 years,Heart Diseases,1625,818519
Virginia,51,25-34 years,Heart Diseases,75,1190381
Tennessee,47,55-64 years,Kidney Disease,153,894697
Kansas,20,25-34 years,COVID-19,18,382922
Indiana,18,75-84 years,Cancer,3565,317937
Nebraska,31,35-44 years,Heart Diseases,47,243139
New Mexico,35,25-34 years,COVID-19,49,284087
Illinois,17,1-14 years,Other Accidents,95,2322679
South Carolina,45,85+ years,Other Accidents,357,91410
Wisconsin,55,35-44 years,Diabetes,32,713075
North Carolina,37,75-84 years,Other Accidents,574,515192
New Mexico,35,85+ years,Cancer,591,41409
Vermont,50,55-64 years,Cancer,270,95379
North Carolina,37,15-24 years,Other Accidents,216,1387060
Virginia,51,65-74 years,Alzheimer & Brain Degeneration Disease,295,802291
North Dakota,38,85+ years,Chronic Respiratory Diseases,117,18813
North Dakota,38,65-74 years,Heart Diseases,236,66664
Virginia,51,45-54 years,Other Causes,969,1100274
Kentucky,21,25-34 years,Cancer,51,587380
New York,36,25-34 years,Diabetes,43,2867651
District of Columbia,11,35-44 years,Cancer,30,108969
South Carolina,45,1-14 years,Other Accidents,46,923180
Maryland,24,35-44 years,Other Causes,756,782213
Colorado,8,85+ years,Stroke,978,89921
Connecticut,9,55-64 years,Stroke,88,513455
Kansas,20,75-84 years,Motor Vehicle Accidents,28,137573
Ohio,39,35-44 years,Heart Diseases,459,1397808
Oklahoma,40,65-74 years,Stroke,338,368050
Colorado,8,75-84 years,Stroke,516,230360
Maryland,24,45-54 years,Stroke,101,795467
Kansas,20,35-44 years,Cancer,100,361029
North Carolina,37,25-34 years,COVID-19,43,1416069
West Virginia,54,65-74 years,Chronic Respiratory Diseases,476,217323
Ohio,39,25-34 years,Diabetes,24,1554378
South Dakota,46,55-64 years,COVID-19,132,117498
California,6,25-34 years,Influenza & Pneumonia,42,6052952
Kentucky,21,45-54 years,Cancer,658,563662
Mississippi,28,25-34 years,Diabetes,15,393747
Utah,49,55-64 years,Chronic Respiratory Diseases,90,303134
Pennsylvania,42,1-14 years,Motor Vehicle Accidents,19,2173564
Iowa,19,45-54 years,Chronic Respiratory Diseases,39,362509
Florida,12,35-44 years,Stroke,100,2600531
Virginia,51,55-64 years,Motor Vehicle Accidents,155,1114417
Nebraska,31,65-74 years,Motor Vehicle Accidents,32,178908
Nevada,32,85+ years,Kidney Disease,62,44816
New Hampshire,33,35-44 years,Other Accidents,113,156500
Georgia,13,55-64 years,Motor Vehicle Accidents,226,1307533
New Jersey,34,45-54 years,Other Accidents,743,1200823
Rhode Island,44,65-74 years,Chronic Respiratory Diseases,112,106159
Illinois,17,45-54 years,Cancer,1419,1599789
Missouri,29,35-44 years,Diabetes,38,753739
West Virginia,54,25-34 years,Motor Vehicle Accidents,52,214004
Alaska,2,35-44 years,Motor Vehicle Accidents,16,95765
New York,36,15-24 years,COVID-19,48,2445246
District of Columbia,11,65-74 years,Other Causes,96,50219
Ohio,39,85+ years,Influenza & Pneumonia,708,256272
Wisconsin,55,85+ years,Other Accidents,1107,128309
South Carolina,45,15-24 years,Other Accidents,107,655402
Maine,23,65-74 years,Stroke,93,169079
Arizona,4,65-74 years,Other Accidents,319,751699
North Carolina,37,35-44 years,Other Accidents,616,1303427
Delaware,10,35-44 years,Cancer,35,113101
Arkansas,5,75-84 years,COVID-19,1036,161141
Mississippi,28,75-84 years,Cancer,1651,145440
New Mexico,35,55-64 years,Other Causes,625,272921
Missouri,29,45-54 years,Diabetes,116,732944
Wyoming,56,55-64 years,Heart Diseases,109,78754
Maryland,24,15-24 years,Cancer,19,751030
Maryland,24,65-74 years,Heart Diseases,2321,561582
Wisconsin,55,15-24 years,Other Causes,170,768140
Connecticut,9,75-84 years,Influenza & Pneumonia,122,186095
Virginia,51,75-84 years,Heart Diseases,3964,402130
Illinois,17,15-24 years,Other Accidents,172,1652607
Wisconsin,55,75-84 years,Influenza & Pneumonia,175,294186
Texas,48,15-24 years,Other Accidents,325,4055517
Kentucky,21,35-44 years,Diabetes,38,550953
Alabama,1,45-54 years,Stroke,137,616616
Massachusetts,25,35-44 years,Heart Diseases,139,848373
Maryland,24,75-84 years,Alzheimer & Brain Degeneration Disease,422,278421
North Dakota,38,25-34 years,Other Accidents,27,114571
Idaho,16,25-34 years,Other Causes,53,236490
Montana,30,75-84 years,Kidney Disease,34,58951
Minnesota,27,1-14 years,Cancer,10,1084215
California,6,35-44 years,COVID-19,860,5282100
Maine,23,25-34 years,Motor Vehicle Accidents,32,162808
Texas,48,35-44 years,Diabetes,197,3942439
Alabama,1,65-74 years,Influenza & Pneumonia,218,501447
Nevada,32,55-64 years,Influenza & Pneumonia,68,383476
Wisconsin,55,55-64 years,Diabetes,238,823018
Utah,49,75-84 years,Cancer,904,107832
Hawaii,15,25-34 years,Motor Vehicle Accidents,25,199995
Rhode Island,44,35-44 years,COVID-19,10,125335
Delaware,10,55-64 years,Influenza & Pneumonia,18,137730
Alabama,1,25-34 years,Other Accidents,224,647229
Arizona,4,15-24 years,Other Causes,264,973547
Virginia,51,1-14 years,Cancer,32,1545598
South Carolina,45,25-34 years,Heart Diseases,67,682854
Oklahoma,40,35-44 years,Motor Vehicle Accidents,97,497873
Oregon,41,45-54 years,Other Causes,527,510127
Wyoming,56,35-44 years,Cancer,11,74285
Indiana,18,85+ years,Heart Diseases,5448,131069
Washington,53,55-64 years,Alzheimer & Brain Degeneration Disease,73,959608
Wyoming,56,45-54 years,Other Causes,63,63853
Tennessee,47,85+ years,Other Causes,3958,121769
Colorado,8,1-14 years,Cancer,14,1042523
Kansas,20,65-74 years,Chronic Respiratory Diseases,454,272236
Arizona,4,85+ years,Other Causes,3319,145737
Indiana,18,35-44 years,Chronic Respiratory Diseases,23,828959
Alabama,1,75-84 years,Heart Diseases,3404,256847
New York,36,45-54 years,Diabetes,294,2471804
Oregon,41,75-84 years,Alzheimer & Brain Degeneration Disease,629,216944
North Carolina,37,1-14 years,Other Causes,735,1904242
Washington,53,45-54 years,Heart Diseases,488,923777
Indiana,18,1-14 years,Other Causes,405,1297321
Michigan,26,85+ years,Diabetes,602,213136
West Virginia,54,55-64 years,Stroke,103,254726
Delaware,10,85+ years,Alzheimer & Brain Degeneration Disease,243,20254
Florida,12,55-64 years,Other Causes,6234,2898355
Nebraska,31,25-34 years,Motor Vehicle Accidents,53,255338
Virginia,51,15-24 years,Heart Diseases,15,1113447
Louisiana,22,25-34 years,Diabetes,20,658227
Mississippi,28,85+ years,Influenza & Pneumonia,247,52298
Nevada,32,45-54 years,COVID-19,249,394228
California,6,65-74 years,Cancer,15806,3386670
North Carolina,37,55-64 years,Stroke,469,1362125
Texas,48,1-14 years,Cancer,100,6157593
Montana,30,55-64 years,Kidney Disease,12,150008
Utah,49,35-44 years,Other Accidents,154,443453
Iowa,19,65-74 years,Kidney Disease,58,311447
Ohio,39,75-84 years,Heart Diseases,7277,600805
New York,36,85+ years,Motor Vehicle Accidents,62,460001
Colorado,8,55-64 years,Chronic Respiratory Diseases,274,713013
Nebraska,31,85+ years,Alzheimer & Brain Degeneration Disease,657,43058
Ohio,39,65-74 years,Alzheimer & Brain Degeneration Disease,445,1189243
Kansas,20,45-54 years,Heart Diseases,242,327961
Louisiana,22,35-44 years,Motor Vehicle Accidents,154,589854
Pennsylvania,42,15-24 years,Motor Vehicle Accidents,178,1603208
Indiana,18,15-24 years,Other Causes,280,930398
Arkansas,5,45-54 years,Diabetes,87,361582
Illinois,17,55-64 years,Chronic Respiratory Diseases,650,1658283
New Hampshire,33,55-64 years,Other Causes,254,214314
Connecticut,9,35-44 years,Influenza & Pneumonia,13,427141
Ohio,39,55-64 years,Influenza & Pneumonia,223,1604683
New Jersey,34,55-64 years,Stroke,311,1223649
Kentucky,21,85+ years,Other Accidents,283,81868
Alaska,2,65-74 years,Kidney Disease,13,61300
Tennessee,47,75-84 years,Heart Diseases,4385,340228
Montana,30,25-34 years,Other Accidents,34,138386
North Carolina,37,85+ years,Diabetes,494,189394
Wisconsin,55,25-34 years,Other Causes,250,741222
Georgia,13,85+ years,COVID-19,2122,151069
Missouri,29,25-34 years,Motor Vehicle Accidents,161,825887
South Dakota,46,65-74 years,Motor Vehicle Accidents,14,89216
Michigan,26,75-84 years,Motor Vehicle Accidents,115,514685
Michigan,26,35-44 years,Influenza & Pneumonia,28,1166172
Texas,48,65-74 years,Alzheimer & Brain Degeneration Disease,1154,2245028
Minnesota,27,65-74 years,Other Accidents,220,531059
New York,36,75-84 years,Influenza & Pneumonia,1082,976223
Mississippi,28,65-74 years,Influenza & Pneumonia,160,288955
Washington,53,25-34 years,Cancer,83,1172075
Alaska,2,45-54 years,Motor Vehicle Accidents,15,85130
Colorado,8,25-34 years,Motor Vehicle Accidents,134,913354
Kansas,20,85+ years,Chronic Respiratory Diseases,488,65678
Vermont,50,85+ years,Other Causes,403,14437
Idaho,16,45-54 years,Stroke,17,201766
Oregon,41,35-44 years,Heart Diseases,69,568712
Michigan,26,65-74 years,Heart Diseases,4908,1037580
Rhode Island,44,45-54 years,Other Accidents,74,135112
Utah,49,45-54 years,Other Causes,205,328430
California,6,15-24 years,Influenza & Pneumonia,18,5180973
Minnesota,27,15-24 years,Other Accidents,117,717060
New Mexico,35,75-84 years,Chronic Respiratory Diseases,363,111714
North Dakota,38,55-64 years,Influenza & Pneumonia,11,93878
Alabama,1,35-44 years,Other Causes,546,593306
Louisiana,22,65-74 years,COVID-19,1581,442534
Rhode Island,44,85+ years,Heart Diseases,1212,27512
Kentucky,21,65-74 years,Kidney Disease,299,447876
District of Columbia,11,75-84 years,Heart Diseases,271,24882
District of Columbia,11,55-64 years,Diabetes,25,69876
Washington,53,75-84 years,Chronic Respiratory Diseases,969,339621
Mississippi,28,45-54 years,Influenza & Pneumonia,37,362040
Oklahoma,40,25-34 years,Cancer,46,543593
Texas,48,45-54 years,COVID-19,2366,3554098
Arkansas,5,35-44 years,Other Causes,247,370263
Wisconsin,55,45-54 years,Heart Diseases,529,715209
Mississippi,28,15-24 years,Heart Diseases,12,402867
Hawaii,15,75-84 years,Cancer,631,74688
Kentucky,21,15-24 years,Motor Vehicle Accidents,103,583798
Mississippi,28,35-44 years,Other Causes,290,365754
Tennessee,47,65-74 years,Stroke,669,681396
Massachusetts,25,65-74 years,Other Causes,2251,673305
Washington,53,85+ years,Stroke,1378,134578
Illinois,17,25-34 years,Other Causes,745,1758096
Utah,49,85+ years,Chronic Respiratory Diseases,222,38574
Michigan,26,1-14 years,Other Accidents,111,1763131
Colorado,8,65-74 years,Heart Diseases,1453,522131
Idaho,16,15-24 years,Other Accidents,34,241619
Connecticut,9,25-34 years,Motor Vehicle Accidents,48,448029
West Virginia,54,75-84 years,Stroke,302,109552
South Carolina,45,45-54 years,Other Accidents,297,640607
Tennessee,47,15-24 years,Other Accidents,169,869205
New York,36,55-64 years,Influenza & Pneumonia,394,2597156
New Hampshire,33,45-54 years,Heart Diseases,113,183273
New Jersey,34,85+ years,Alzheimer & Brain Degeneration Disease,2226,203104
Oklahoma,40,85+ years,Influenza & Pneumonia,197,74163
Washington,53,1-14 years,Other Causes,276,1392247
Wyoming,56,75-84 years,COVID-19,142,27598
California,6,45-54 years,Other Causes,4294,4979745
North Carolina,37,65-74 years,Other Causes,4457,1046508
Florida,12,85+ years,Heart Diseases,19877,581454
Hawaii,15,55-64 years,Influenza & Pneumonia,27,179137
Tennessee,47,35-44 years,Chronic Respiratory Diseases,25,847658
Washington,53,35-44 years,Stroke,28,1028141
South Carolina,45,65-74 years,Cancer,3284,570600
Missouri,29,85+ years,Kidney Disease,572,133531
Massachusetts,25,85+ years,Diabetes,381,159523
Oregon,41,85+ years,Other Accidents,467,84538
Indiana,18,55-64 years,Cancer,2626,875082
Nevada,32,25-34 years,Heart Diseases,16,453116
California,6,55-64 years,Motor Vehicle Accidents,670,4786635
Massachusetts,25,25-34 years,Motor Vehicle Accidents,66,994454
New Hampshire,33,85+ years,Chronic Respiratory Diseases,228,30241
Georgia,13,35-44 years,Chronic Respiratory Diseases,24,1380954
Alaska,2,85+ years,Alzheimer & Brain Degeneration Disease,80,7181
Missouri,29,55-64 years,Chronic Respiratory Diseases,498,830732
Hawaii,15,85+ years,Heart Diseases,1077,41668
Ohio,39,45-54 years,Diabetes,276,1447581
Massachusetts,25,45-54 years,Other Causes,729,893633
Utah,49,15-24 years,Motor Vehicle Accidents,47,518499
Idaho,16,55-64 years,Kidney Disease,20,218360
New Mexico,35,65-74 years,Motor Vehicle Accidents,39,224483
Georgia,13,45-54 years,COVID-19,567,1399652
Louisiana,22,75-84 years,Alzheimer & Brain Degeneration Disease,821,216431
New Jersey,34,15-24 years,Other Causes,166,1093555
Arkansas,5,55-64 years,Kidney Disease,83,385994
Idaho,16,75-84 years,Diabetes,123,85030
Delaware,10,45-54 years,Heart Diseases,79,118881
Idaho,16,35-44 years,COVID-19,11,227172
South Carolina,45,35-44 years,Stroke,48,620504
Georgia,13,75-84 years,Kidney Disease,631,439884
North Carolina,37,45-54 years,Motor Vehicle Accidents,225,1364067
Tennessee,47,25-34 years,Diabetes,32,949656
New Jersey,34,75-84 years,COVID-19,4365,439565
Utah,49,1-14 years,Cancer,12,774764
Massachusetts,25,75-84 years,Stroke,630,336504
Oklahoma,40,55-64 years,Cancer,1702,493694
Iowa,19,15-24 years,Heart Diseases,10,436415
Montana,30,35-44 years,Heart Diseases,16,129795
West Virginia,54,85+ years,Stroke,369,40136
South Dakota,46,45-54 years,Motor Vehicle Accidents,15,94865
California,6,85+ years,Motor Vehicle Accidents,118,749846
Illinois,17,85+ years,Heart Diseases,10420,266969
Florida,12,65-74 years,Cancer,12880,2465369
Minnesota,27,35-44 years,Other Causes,273,725577
North Dakota,38,75-84 years,Other Accidents,31,34368
California,6,1-14 years,Cancer,127,7391703
Ohio,39,15-24 years,Diabetes,10,1507223
California,6,75-84 years,Influenza & Pneumonia,1409,1701599
Indiana,18,25-34 years,Heart Diseases,100,890687
Maine,23,45-54 years,Cancer,171,174730
Utah,49,65-74 years,Kidney Disease,56,219466
Wisconsin,55,65-74 years,Cancer,3182,594748
Maine,23,55-64 years,Influenza & Pneumonia,25,211560
Iowa,19,85+ years,Alzheimer & Brain Degeneration Disease,1070,78674
Vermont,50,65-74 years,Motor Vehicle Accidents,10,75206
Kentucky,21,75-84 years,Kidney Disease,346,220820
Alabama,1,85+ years,COVID-19,1563,91543
Vermont,50,45-54 years,Chronic Respiratory Diseases,10,78051
Pennsylvania,42,75-84 years,Influenza & Pneumonia,619,707157
Vermont,50,75-84 years,Heart Diseases,352,35396
West Virginia,54,45-54 years,Heart Diseases,275,229251
New Mexico,35,35-44 years,Cancer,62,254846
Louisiana,22,85+ years,Influenza & Pneumonia,234,82057
New Jersey,34,35-44 years,Motor Vehicle Accidents,78,1137693
Iowa,19,35-44 years,Other Causes,168,385215
South Dakota,46,85+ years,COVID-19,637,20985
Utah,49,25-34 years,Other Causes,178,471806
Minnesota,27,75-84 years,Other Accidents,391,266713
Indiana,18,45-54 years,Cancer,853,824029
Montana,30,65-74 years,Influenza & Pneumonia,27,124631
District of Columbia,11,85+ years,Kidney Disease,11,12242
Connecticut,9,85+ years,COVID-19,2573,91330
Iowa,19,55-64 years,Heart Diseases,882,415696
Montana,30,45-54 years,Stroke,13,117800
Oregon,41,55-64 years,Kidney Disease,42,538950
Kentucky,21,55-64 years,Kidney Disease,144,598289
Texas,48,75-84 years,Other Accidents,955,1080742
Pennsylvania,42,45-54 years,Kidney Disease,78,1604097
Oklahoma,40,75-84 years,COVID-19,1392,192919
Michigan,26,25-34 years,Heart Diseases,133,1311614
Georgia,13,65-74 years,Influenza & Pneumonia,252,926001
Hawaii,15,45-54 years,Other Accidents,67,167747
Delaware,10,65-74 years,Heart Diseases,418,112858
Arizona,4,35-44 years,Heart Diseases,199,896027
New Hampshire,33,65-74 years,Chronic Respiratory Diseases,168,152669
Pennsylvania,42,55-64 years,Alzheimer & Brain Degeneration Disease,85,1804883
North Dakota,38,45-54 years,Cancer,50,78199
Oklahoma,40,15-24 years,Other Causes,180,539562
Louisiana,22,55-64 years,Other Causes,1554,604670
Pennsylvania,42,25-34 years,Diabetes,29,1709136
Michigan,26,45-54 years,Other Accidents,536,1254679
Delaware,10,75-84 years,COVID-19,280,55794
South Dakota,46,75-84 years,Chronic Respiratory Diseases,174,41670
Arkansas,5,25-34 years,Motor Vehicle Accidents,87,396868
Connecticut,9,65-74 years,Alzheimer & Brain Degeneration Disease,84,352819
Montana,30,85+ years,Other Accidents,120,22855
District of Columbia,11,45-54 years,Other Causes,43,74286
Nebraska,31,75-84 years,Motor Vehicle Accidents,20,90492
Florida,12,25-34 years,Other Accidents,1338,2799422
Missouri,29,75-84 years,COVID-19,2079,318341
Massachusetts,25,55-64 years,Stroke,157,943190
New Jersey,34,25-34 years,Diabetes,14,1152278
Rhode Island,44,55-64 years,Influenza & Pneumonia,16,149609
Idaho,16,65-74 years,Diabetes,96,175866
West Virginia,54,35-44 years,Cancer,79,213802
Alabama,1,55-64 years,Motor Vehicle Accidents,151,657667
Missouri,29,65-74 years,Alzheimer & Brain Degeneration Disease,252,610165
Rhode Island,44,75-84 years,Heart Diseases,560,53375
Mississippi,28,55-64 years,Heart Diseases,1331,385911
Michigan,26,15-24 years,Chronic Respiratory Diseases,13,1326325
South Carolina,45,55-64 years,Cancer,2083,689144
Florida,12,15-24 years,Motor Vehicle Accidents,498,2460558
Minnesota,27,25-34 years,Cancer,58,762616
Iowa,19,25-34 years,Other Accidents,82,398150
Maine,23,75-84 years,Heart Diseases,761,82386
New Hampshire,33,75-84 years,Heart Diseases,628,70954
Hawaii,15,65-74 years,Other Causes,281,152092
Missouri,29,15-24 years,Other Causes,335,794469
Maine,23,35-44 years,Other Accidents,109,154075
Georgia,13,25-34 years,Chronic Respiratory Diseases,17,1493261
Texas,48,85+ years,Other Causes,11148,408459
New York,36,1-14 years,Motor Vehicle Accidents,27,3345597
Illinois,17,65-74 years,Diabetes,737,1176033
Arizona,4,75-84 years,Other Causes,3053,411197
Virginia,51,85+ years,Diabetes,418,154485
Arizona,4,45-54 years,Influenza & Pneumonia,54,852090
Virginia,51,35-44 years,Kidney Disease,23,1112496
Colorado,8,45-54 years,Motor Vehicle Accidents,86,706150
Tennessee,47,45-54 years,Cancer,981,871279
North Dakota,38,35-44 years,Motor Vehicle Accidents,24,92576
Pennsylvania,42,35-44 years,COVID-19,117,1513739
Oregon,41,25-34 years,Diabetes,15,604284
New Mexico,35,45-54 years,Heart Diseases,182,235656
Idaho,16,85+ years,Chronic Respiratory Diseases,232,29774
Michigan,26,55-64 years,Other Causes,2733,1399535
Colorado,8,35-44 years,Stroke,21,798071
Florida,12,45-54 years,Diabetes,453,2709395
New Jersey,34,65-74 years,COVID-19,3361,832866
Kansas,20,55-64 years,Alzheimer & Brain Degeneration Disease,21,371505
Wyoming,56,65-74 years,Chronic Respiratory Diseases,117,60590
Alaska,2,55-64 years,Cancer,218,93339
Maryland,24,55-64 years,Chronic Respiratory Diseases,253,818519
Virginia,51,25-34 years,COVID-19,19,1190381
Tennessee,47,55-64 years,Influenza & Pneumonia,168,894697
Kansas,20,25-34 years,Cancer,28,382922
Indiana,18,75-84 years,Stroke,940,317937
Nebraska,31,35-44 years,Other Causes,87,243139
New Mexico,35,25-34 years,Cancer,31,284087
Illinois,17,1-14 years,Chronic Respiratory Diseases,13,2322679
South Carolina,45,85+ years,Motor Vehicle Accidents,23,91410
Wisconsin,55,35-44 years,Heart Diseases,163,713075
North Carolina,37,75-84 years,Other Causes,5568,515192
New Mexico,35,85+ years,Influenza & Pneumonia,105,41409
Vermont,50,55-64 years,Other Causes,79,95379
North Carolina,37,15-24 years,Cancer,44,1387060
Virginia,51,65-74 years,Other Accidents,307,802291
North Dakota,38,85+ years,Cancer,295,18813
North Dakota,38,65-74 years,Diabetes,46,66664
Virginia,51,45-54 years,Influenza & Pneumonia,45,1100274
Kentucky,21,25-34 years,Influenza & Pneumonia,10,587380
New York,36,25-34 years,Heart Diseases,165,2867651
District of Columbia,11,35-44 years,Heart Diseases,12,108969
Maryland,24,35-44 years,Influenza & Pneumonia,19,782213
Colorado,8,85+ years,Chronic Respiratory Diseases,744,89921
Connecticut,9,55-64 years,Other Accidents,304,513455
Kansas,20,75-84 years,Other Causes,1510,137573
Ohio,39,35-44 years,Other Accidents,1203,1397808
Oklahoma,40,65-74 years,COVID-19,1190,368050
Colorado,8,75-84 years,Kidney Disease,177,230360
Maryland,24,45-54 years,Influenza & Pneumonia,39,795467
Kansas,20,35-44 years,Heart Diseases,93,361029
North Carolina,37,25-34 years,Heart Diseases,107,1416069
West Virginia,54,65-74 years,Other Causes,946,217323
Ohio,39,25-34 years,Heart Diseases,158,1554378
South Dakota,46,55-64 years,Cancer,300,117498
California,6,25-34 years,Heart Diseases,322,6052952
Kentucky,21,45-54 years,Chronic Respiratory Diseases,139,563662
Mississippi,28,25-34 years,Motor Vehicle Accidents,127,393747
Utah,49,55-64 years,Other Causes,452,303134
Iowa,19,45-54 years,Diabetes,37,362509
Florida,12,35-44 years,Kidney Disease,54,2600531
Virginia,51,55-64 years,Influenza & Pneumonia,118,1114417
Nebraska,31,65-74 years,Other Causes,498,178908
Nevada,32,85+ years,Alzheimer & Brain Degeneration Disease,663,44816
New Hampshire,33,35-44 years,Heart Diseases,13,156500
Georgia,13,55-64 years,Heart Diseases,3304,1307533
New Jersey,34,45-54 years,Chronic Respiratory Diseases,64,1200823
Rhode Island,44,65-74 years,Diabetes,61,106159
Illinois,17,45-54 years,Other Causes,1444,1599789
Missouri,29,35-44 years,COVID-19,68,753739
West Virginia,54,25-34 years,Cancer,18,214004
Alaska,2,35-44 years,COVID-19,10,95765
New York,36,15-24 years,Stroke,13,2445246
District of Columbia,11,65-74 years,Heart Diseases,281,50219
Ohio,39,85+ years,Alzheimer & Brain Degeneration Disease,3845,256272
Wisconsin,55,85+ years,Chronic Respiratory Diseases,860,128309
South Carolina,45,15-24 years,Motor Vehicle Accidents,140,655402
Maine,23,65-74 years,Diabetes,127,169079
Arizona,4,65-74 years,Motor Vehicle Accidents,113,751699
North Carolina,37,35-44 years,COVID-19,117,1303427
Delaware,10,35-44 years,Diabetes,11,113101
Arkansas,5,75-84 years,Other Causes,1439,161141
Mississippi,28,75-84 years,Diabetes,281,145440
New Mexico,35,55-64 years,Stroke,68,272921
Missouri,29,45-54 years,Stroke,101,732944
Wyoming,56,55-64 years,Diabetes,19,78754
Maryland,24,15-24 years,COVID-19,12,751030
Maryland,24,65-74 years,Other Causes,2020,561582
Connecticut,9,75-84 years,COVID-19,1511,186095
Virginia,51,75-84 years,Cancer,4002,402130
Illinois,17,15-24 years,Cancer,58,1652607
Wisconsin,55,75-84 years,Cancer,3177,294186
Texas,48,15-24 years,Heart Diseases,92,4055517
Kentucky,21,35-44 years,Cancer,197,550953
Alabama,1,45-54 years,Other Causes,919,616616
Massachusetts,25,35-44 years,Stroke,16,848373
Maryland,24,75-84 years,Chronic Respiratory Diseases,690,278421
Montana,30,75-84 years,COVID-19,327,58951
California,6,35-44 years,Stroke,232,5282100
Texas,48,35-44 years,Cancer,982,3942439
Alabama,1,65-74 years,Heart Diseases,3066,501447
Nevada,32,55-64 years,Alzheimer & Brain Degeneration Disease,23,383476
Wisconsin,55,55-64 years,Other Accidents,402,823018
Utah,49,75-84 years,Heart Diseases,1014,107832
Hawaii,15,25-34 years,Other Accidents,27,199995
Rhode Island,44,35-44 years,Heart Diseases,17,125335
Delaware,10,55-64 years,Stroke,46,137730
Alabama,1,25-34 years,Motor Vehicle Accidents,189,647229
Arizona,4,15-24 years,Cancer,35,973547
Pennsylvania,42,85+ years,Kidney Disease,1270,332112
South Carolina,45,25-34 years,Diabetes,20,682854
Oklahoma,40,35-44 years,Diabetes,52,497873
Oregon,41,45-54 years,Diabetes,65,510127
Nebraska,31,55-64 years,Influenza & Pneumonia,28,242293
Indiana,18,85+ years,Kidney Disease,541,131069
Washington,53,55-64 years,Cancer,2314,959608
Wyoming,56,45-54 years,Other Accidents,29,63853
Tennessee,47,85+ years,Influenza & Pneumonia,407,121769
Kansas,20,65-74 years,Diabetes,217,272236
Arizona,4,85+ years,Diabetes,313,145737
Indiana,18,35-44 years,COVID-19,83,828959
Alabama,1,75-84 years,Kidney Disease,361,256847
New York,36,45-54 years,COVID-19,1973,2471804
Oregon,41,75-84 years,Cancer,2206,216944
Washington,53,45-54 years,Cancer,726,923777
Michigan,26,85+ years,Chronic Respiratory Diseases,1558,213136
West Virginia,54,55-64 years,Chronic Respiratory Diseases,271,254726
Delaware,10,85+ years,Other Causes,581,20254
Florida,12,55-64 years,Cancer,8006,2898355
Nebraska,31,25-34 years,Other Causes,70,255338
Virginia,51,15-24 years,Other Accidents,128,1113447
Louisiana,22,25-34 years,Motor Vehicle Accidents,141,658227
Mississippi,28,85+ years,Alzheimer & Brain Degeneration Disease,1097,52298
Nevada,32,45-54 years,Kidney Disease,28,394228
California,6,65-74 years,Other Accidents,1204,3386670
North Carolina,37,55-64 years,Heart Diseases,2726,1362125
Texas,48,1-14 years,Heart Diseases,56,6157593
Montana,30,55-64 years,COVID-19,115,150008
Utah,49,35-44 years,COVID-19,37,443453
Iowa,19,65-74 years,Other Causes,1039,311447
Ohio,39,75-84 years,Stroke,1818,600805
New York,36,85+ years,COVID-19,10392,460001
Colorado,8,55-64 years,Motor Vehicle Accidents,107,713013
Nebraska,31,85+ years,COVID-19,762,43058
